time,xref,x,yref,y,zref,z,ex,ey,ez,e_norm,roll,pitch,yaw,u1,u2,u3,u4,w1,w2,w3,w4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.01,0.0,2.833107793612063e-15,0.0,2.1450217389433756e-15,0.02,1.5989047436266077e-6,-2.833107793612063e-15,-2.1450217389433756e-15,0.019998401095256375,0.019998401095256375,9.133937346955523e-14,-1.2430119297123815e-13,4.010870599846942e-13,5.217143301985906,-5.217143301971344,5.2171433019900935,-5.217143301998983,4.756520799341995,-4.756520799340553,4.756520799342411,-4.756520799343484
0.02,0.0,5.468319792303672e-15,0.0,4.139624049403757e-15,0.04,3.512225399210335e-6,-5.468319792303672e-15,-4.139624049403757e-15,0.03999648777460079,0.03999648777460079,1.838982763050399e-13,-2.429500225304243e-13,1.0161389073126413e-12,7.2390502961800465,-7.239050296154789,7.239050296185497,-7.239050296196385,7.563837386122211,-7.563837386093888,7.563837386128636,-7.563837386141869
0.03,0.0,6.8326075183049344e-15,0.0,5.189665102126906e-15,0.06,5.567197002326985e-6,-6.8326075183049344e-15,-5.189665102126906e-15,0.05999443280299767,0.05999443280299767,2.373541487828121e-13,-3.100739219195557e-13,2.2557190158217435e-12,8.086301860222314,-8.086301860189502,8.086301860227138,-8.086301860228053,8.323464272304632,-8.323464272272005,8.323464272310016,-8.323464272315128
0.04,0.0,6.624705591030391e-15,0.0,5.520804142549083e-15,0.08,7.671892954780622e-6,-6.624705591030391e-15,-5.520804142549083e-15,0.07999232810704522,0.07999232810704522,2.7021437338957625e-13,-2.843464496237393e-13,5.377632306871033e-12,8.502201498470802,-8.502201498417959,8.502201498464263,-8.502201498441066,8.611063274494215,-8.611063274445252,8.611063274491844,-8.611063274471595
0.05,0.0,6.083411795585242e-15,0.0,4.685529320647892e-15,0.1,9.799032519680766e-6,-6.083411795585242e-15,-4.685529320647892e-15,0.09999020096748032,0.09999020096748032,2.4724353205932664e-13,-2.8949882837096815e-13,7.351613479005613e-12,8.760180016420932,-8.760180016362252,8.760180016421991,-8.76018001637672,8.803822763161515,-8.80382276310467,8.803822763165144,-8.803822763120218
0.06,0.0,5.0313472478585705e-15,0.0,3.603846258063656e-15,0.12,1.1941814637872345e-5,-5.0313472478585705e-15,-3.603846258063656e-15,0.11998805818536212,0.11998805818536212,2.222739446946969e-13,-2.603481413080746e-13,9.917779799602592e-12,8.960822488234513,-8.96082248816189,8.96082248823541,-8.960822488167796,8.977686483235395,-8.977686483162426,8.977686483234514,-8.977686483166602
0.07,0.0,4.2851512985105734e-15,0.0,2.7380872711878214e-15,0.14,1.4099038828943741e-5,-4.2851512985105734e-15,-2.7380872711878214e-15,0.13998590096117106,0.13998590096117106,2.025067860905595e-13,-2.6368906897831733e-13,1.3528287693961857e-11,9.14113086153096,-9.141130861434538,9.141130861534409,-9.141130861439542,9.14745623663597,-9.14745623653129,9.147456236641979,-9.14745623654142
0.08,0.0,3.0796300092696326e-15,0.0,1.6660748790447072e-15,0.16,1.627085648993772e-5,-3.0796300092696326e-15,-1.6660748790447072e-15,0.15998372914351006,0.15998372914351006,1.7977312484287533e-13,-2.491727058251046e-13,1.6630461603895937e-11,9.314717105382542,-9.314717105264746,9.314717105386894,-9.314717105269533,9.316921630450764,-9.31692163034447,9.31692163045273,-9.31692163034265
0.09,0.0,9.497043257125615e-16,0.0,-8.508891192996738e-17,0.18,1.8457738136712685e-5,-9.497043257125615e-16,8.508891192996738e-17,0.17998154226186328,0.17998154226186328,1.3719523070863433e-13,-1.857215817189687e-13,1.861447479260249e-11,9.486587520946216,-9.486587520817872,9.486587520945582,-9.486587520810717,9.487217316799684,-9.48721731667352,9.48721731679924,-9.48721731666757
